Country    Year                   Season                                          November               December               January                February               March                  April                  SeasonalRain/mm        AvgSeasonalRain/mm
Zambia     2010                   2009-2010                                       119.73                 224.02                 203.78                 171.58                 152.4                  41.01                  912.52                 152.09
Zambia     2011                   2010-2011                                       121.52                 228.78                 238.47                 222.75                 212.27                 40.41                  1064.2                 177.37
Zambia     2012                   2011-2012                                       107.44                 224.77                 233.32                 186.68                 145.84                 37.83                  935.88                 155.98
Zambia     2013                   2012-2013                                       125.35                 224.81                 224.34                 196.63                 146.28                 52.1                   969.51                 161.59
Zambia     2014                   2013-2014                                       112.49                 227.51                 220.86                 193.04                 150.71                 49.58                  954.19                 159.03
Zambia     2015                   2014-2015                                       100.94                 163.72                 203.1                  165.45                 143.55                 34.38                  811.14                 135.19
Zambia     2016                   2015-2016                                       98.74                  206.48                 248.14                 237.57                 163.42                 53.82                  1008.17                168.03
Zambia     2017                   2016-2017                                       112.6                  230.93                 221.25                 199.8                  153.48                 51.27                  969.33                 161.55
Zambia     2018                   2017-2018                                       111.77                 230                    224.87                 201.48                 157.91                 51.16                  977.19                 162.86

(60 rows affected)


Completion time: 2022-07-06T14:15:48.7518928-04:00
